Ranking,Player
1,Andy Murray
2,Novak Djokovic
3,Stan Wawrinka
4,Milos Raonic
5,Kei Nishikori
6,Rafael Nadal
7,Marin Cilic
8,Jo-Wilfried Tsonga
9,Dominic Thiem
10,Roger Federer
11,Gael Monfils
12,David Goffin
13,Grigor Dimitrov
14,Tomas Berdych
15,Lucas Pouille
16,Nick Kyrgios
17,Roberto Bautista Agut
18,Jack Sock
19,Richard Gasquet
20,Alexander Zverev
21,Ivo Karlovic
22,John Isner
23,Pablo Carreno Busta
24,Albert Ramos-Vinolas
25,Gilles Simon
26,Sam Querrey
27,Steve Johnson
28,Gilles Muller
29,Fernando Verdasco
30,Pablo Cuevas
31,Philipp Kohlschreiber
32,David Ferrer
33,Mischa Zverev
34,Feliciano Lopez
35,Juan Martin del Potro
36,Marcel Granollers
37,Joao Sousa
38,Paolo Lorenzi
39,Viktor Troicki
40,Benoit Paire
41,Daniel Evans
42,Bernard Tomic
43,Fabio Fognini
44,Diego Schwartzman
45,Ryan Harrison
46,Kyle Edmund
47,Robin Haase
48,Florian Mayer
49,Federico Delbonis
50,Steve Darcis
51,Marcos Baghdatis
52,Karen Khachanov
53,Malek Jaziri
54,Nicolas Mahut
55,Nikoloz Basilashvili
56,Jiri Vesely
57,Nicolas Almagro
58,Daniil Medvedev
59,Borna Coric
60,Donald Young
61,Adrian Mannarino
62,Andrey Kuznetsov
63,Jan-Lennard Struff
64,Alexandr Dolgopolov
65,Yen-Hsun Lu
66,Martin Klizan
67,Damir Dzumhur
68,Carlos Berlocq
69,Denis Istomin
70,Yoshihito Nishioka
71,Thomaz Bellucci
72,Juan Monaco
73,Horacio Zeballos
74,Pierre-Hugues Herbert
75,Andreas Seppi
76,Jordan Thompson
77,Thiago Monteiro
78,Dudi Sela
79,Kevin Anderson
80,Jeremy Chardy
81,Stephane Robert
82,Dustin Brown
83,Facundo Bagnis
84,Mikhail Youzhny
85,Rogerio Dutra Silva
86,Frances Tiafoe
87,Radu Albot
88,Renzo Olivo
89,Guillermo Garcia-Lopez
90,Mikhail Kukushkin
91,Victor Estrella Burgos
92,Hyeon Chung
93,Jared Donaldson
94,Adam Pavlasek
95,Gastao Elias
96,Konstantin Kravchuk
97,Janko Tipsarevic
98,Radek Stepanek
99,Evgeny Donskoy
100,Nicolas Kicker
